split_type,cell_line,model,environment_added,background,background_set,delta_r2_mean,delta_mae_mean,delta_rmse_mean,n_paired
all,hct116,transformer,dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",-0.008423,-0.000666,0.000753,1
all,hct116,transformer,dnase,sequence_ctcf_rrbs,"ctcf,rrbs",-0.001728,0.000715,0.000155,1
all,hct116,transformer,dnase,sequence_h3k4me3,h3k4me3,0.01475,-0.001023,-0.001321,1
all,hct116,transformer,dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",-0.003923,-0.001035,0.00035,1
all,hct116,transformer,dnase,sequence_rrbs,rrbs,-0.00429,-0.000257,0.000386,1
all,hct116,transformer,h3k4me3,sequence,,-0.024285,0.005139,0.002181,1
all,hct116,transformer,h3k4me3,sequence_ctcf,ctcf,-0.018635,-0.000467,0.001671,1
all,hct116,transformer,h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",-0.014946,-0.000344,0.001334,1
all,hct116,transformer,h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",-0.008144,-0.000533,0.000728,1
all,hct116,transformer,h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",-0.001449,0.000848,0.00013,1
all,hct116,transformer,h3k4me3,sequence_dnase,dnase,-0.008481,0.002165,0.000765,1
all,hct116,transformer,h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",-0.01497,0.001071,0.001341,1
all,hct116,transformer,h3k4me3,sequence_rrbs,rrbs,-0.015337,0.001849,0.001377,1
all,hct116,transformer,rrbs,sequence,,-0.004804,0.002466,0.000434,1
all,hct116,transformer,rrbs,sequence_ctcf,ctcf,-0.00927,0.000268,0.000833,1
all,hct116,transformer,rrbs,sequence_ctcf_dnase,"ctcf,dnase",-0.001514,-0.000486,0.000136,1
all,hct116,transformer,rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",0.005288,-0.000675,-0.000471,1
