split_type,cell_line,model,combination,environment_count,CTCF,DNase,H3K4me3,RRBS,r2,rmse,mae,pearson,spearman,sample_count,eligible_count,n_invalid,status,warning
all,hct116,linear,sequence,0,False,False,False,False,0.0968507033652117,0.1631951783138366,0.131835120192893,0.3220260385691417,0.316636124856664,1,1,0,ok,
all,hct116,linear,sequence_ctcf,1,True,False,False,False,0.0934162282054695,0.1635051812915131,0.1324006367872553,0.3115884416194758,0.3106459946952014,1,1,0,ok,
all,hct116,linear,sequence_dnase,1,False,True,False,False,,,,,,1,0,1,unavailable,all experiments invalid:R2_diverged(|R2|>10)
all,hct116,linear,sequence_h3k4me3,1,False,False,True,False,0.0950047554874418,0.1633618705872531,0.1318035321327687,0.3149456792642394,0.3147398871566396,1,1,0,ok,
all,hct116,linear,sequence_rrbs,1,False,False,False,True,0.0953248201652691,0.1633329803866852,0.1316561885748974,0.3171409985349022,0.3153176680824651,1,1,0,ok,
all,hct116,linear,sequence_ctcf_dnase,2,True,True,False,False,,,,,,1,0,1,unavailable,all experiments invalid:R2_diverged(|R2|>10)
all,hct116,linear,sequence_ctcf_h3k4me3,2,True,False,True,False,0.0911982343313297,0.1637050701275385,0.1322684558699108,0.3049224418613487,0.3081908058851411,1,1,0,ok,
all,hct116,linear,sequence_ctcf_rrbs,2,True,False,False,True,0.0921233475141729,0.163621727266201,0.1321370695616445,0.3076171363747326,0.3097012062480637,1,1,0,ok,
all,hct116,linear,sequence_dnase_h3k4me3,2,False,True,True,False,,,,,,1,0,1,unavailable,all experiments invalid:R2_diverged(|R2|>10)
all,hct116,linear,sequence_dnase_rrbs,2,False,True,False,True,,,,,,1,0,1,unavailable,all experiments invalid:R2_diverged(|R2|>10)
all,hct116,linear,sequence_h3k4me3_rrbs,2,False,False,True,True,0.0932085832325899,0.1635239049253174,0.1318289339449189,0.310375526552737,0.3134431018592919,1,1,0,ok,
all,hct116,linear,sequence_ctcf_dnase_h3k4me3,3,True,True,True,False,,,,,,1,0,1,unavailable,all experiments invalid:R2_diverged(|R2|>10)
all,hct116,linear,sequence_ctcf_dnase_rrbs,3,True,True,False,True,,,,,,1,0,1,unavailable,all experiments invalid:R2_diverged(|R2|>10)
all,hct116,linear,sequence_ctcf_h3k4me3_rrbs,3,True,False,True,True,0.089383352678669,0.1638684485215724,0.1323105024050918,0.3011721703568974,0.3070878719083091,1,1,0,ok,
all,hct116,linear,sequence_dnase_h3k4me3_rrbs,3,False,True,True,True,,,,,,1,0,1,unavailable,all experiments invalid:R2_diverged(|R2|>10)
all,hct116,linear,all,4,True,True,True,True,,,,,,1,0,1,unavailable,all experiments invalid:R2_diverged(|R2|>10)
all,hct116,mlp,sequence,0,False,False,False,False,0.0927671929123749,0.1635636985791968,0.1299579305541878,0.3081272704014368,0.313814216350029,1,1,0,ok,
all,hct116,mlp,sequence_ctcf,1,True,False,False,False,0.0828739334098065,0.1644531012144783,0.1332138167374419,0.2943616024174823,0.2890452812520933,1,1,0,ok,
all,hct116,mlp,sequence_dnase,1,False,True,False,False,0.0810920817127767,0.1646127787421077,0.1337189785388815,0.2934462328066801,0.2975922052741134,1,1,0,ok,
all,hct116,mlp,sequence_h3k4me3,1,False,False,True,False,0.0759511952339924,0.1650726046309856,0.1336806742568566,0.2795842029079114,0.2797725855640869,1,1,0,ok,
all,hct116,mlp,sequence_rrbs,1,False,False,False,True,0.0893868957446344,0.1638681297280992,0.1300359947848691,0.301611469217053,0.312564842225636,1,1,0,ok,
all,hct116,mlp,sequence_ctcf_dnase,2,True,True,False,False,0.071475392776378,0.1654719016474709,0.1340589469707464,0.2761823978381216,0.2803477454266896,1,1,0,ok,
all,hct116,mlp,sequence_ctcf_h3k4me3,2,True,False,True,False,0.0834869685215001,0.164398129285524,0.1335905519408019,0.2944500585486703,0.2911034703495014,1,1,0,ok,
